Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOffTime,,,2018-10-02 14:08:35,2018-10-02 14:10:06,1m - 31.536s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:35,2018-10-02 14:08:36,1.194s,PASSED
callTestCase,,,2018-10-02 14:08:35,2018-10-02 14:08:35,0.435s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:35,2018-10-02 14:08:35,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:35,2018-10-02 14:08:36,0.545s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.001s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.226s,PASSED
callTestCase,,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.084s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.129s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.001s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.218s,PASSED
callTestCase,,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.082s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.125s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:36,2018-10-02 14:08:37,0.205s,PASSED
callTestCase,,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.074s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:36,0.001s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:36,2018-10-02 14:08:37,0.122s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.210s,PASSED
callTestCase,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.075s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.128s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.001s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.197s,PASSED
callTestCase,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.070s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.119s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.001s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.001s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.271s,PASSED
callTestCase,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.076s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.188s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.001s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.196s,PASSED
callTestCase,,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.071s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.119s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:08:37,2018-10-02 14:08:37,0.000s,PASSED
,,,,,,
