Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOperationCode,,,2018-10-02 08:15:30,2018-10-02 08:17:13,1m - 43.298s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:15:30,2018-10-02 08:15:52,22.210s,PASSED
callTestCase,,,2018-10-02 08:15:30,2018-10-02 08:15:30,0.411s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:15:30,2018-10-02 08:15:52,21.572s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.001s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.001s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:15:52,2018-10-02 08:15:59,6.844s,PASSED
callTestCase,,,2018-10-02 08:15:52,2018-10-02 08:15:52,0.078s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:15:52,2018-10-02 08:15:59,6.756s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.001s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.309s,FAILED
callTestCase,,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.070s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:15:59,2018-10-02 08:15:59,0.230s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:15:59,2018-10-02 08:16:00,1.082s,FAILED
callTestCase,,,2018-10-02 08:15:59,2018-10-02 08:16:00,0.921s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:16:00,2018-10-02 08:16:00,0.152s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:16:00,2018-10-02 08:16:07,6.653s,PASSED
callTestCase,,,2018-10-02 08:16:00,2018-10-02 08:16:00,0.068s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:16:00,2018-10-02 08:16:07,6.578s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:16:07,2018-10-02 08:16:14,7.345s,PASSED
callTestCase,,,2018-10-02 08:16:07,2018-10-02 08:16:07,0.066s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:16:07,2018-10-02 08:16:14,7.271s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:16:14,2018-10-02 08:16:14,0.000s,PASSED
