Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_All - DevTransferDataSet,,,2018-10-11 16:05:41,2018-10-11 17:05:16,59m - 34.299s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints - Dev,,,2018-10-11 16:05:42,2018-10-11 16:06:21,39.230s,PASSED
"Statement - Glb_Status_GetOperationCode = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.006s,PASSED
"Statement - Glb_Status_GetDropOffTime = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Status_GetPickupTime = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Status_ReserveTimeslot = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.000s,PASSED
"Statement - Glb_Status_GetTransportOption = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Status_MakeServiceBooking = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.000s,PASSED
"Statement - Glb_Status_SearchBooking = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.000s,PASSED
"Statement - Glb_Status_GetBookingDetail = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Status_ChangeBooking = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Status_CancelBooking = ""failed""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Reserve_Token = ""no""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.000s,PASSED
"Statement - Glb_BookingStatus = ""not yet""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.001s,PASSED
"Statement - Glb_Booking_ID = ""wrong""",,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.000s,PASSED
callTestCase,,,2018-10-11 16:05:42,2018-10-11 16:05:42,0.467s,PASSED
