Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOffTime,,,2018-10-02 08:17:14,2018-10-02 08:17:43,28.668s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:17:14,2018-10-02 08:17:16,1.168s,PASSED
callTestCase,,,2018-10-02 08:17:15,2018-10-02 08:17:15,0.388s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:17:15,2018-10-02 08:17:15,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:17:15,2018-10-02 08:17:16,0.567s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.001s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.001s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.001s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.001s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.232s,PASSED
callTestCase,,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.081s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:17:16,2018-10-02 08:17:16,0.000s,PASSED
