Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOffTime,,,2018-10-02 14:41:07,2018-10-02 14:49:27,8m - 19.824s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:08,2018-10-02 14:41:09,1.171s,PASSED
callTestCase,,,2018-10-02 14:41:08,2018-10-02 14:41:08,0.400s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:08,2018-10-02 14:41:08,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:08,2018-10-02 14:41:09,0.584s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.001s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.001s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.298s,PASSED
callTestCase,,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.087s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.198s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.001s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.001s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:09,2018-10-02 14:41:10,0.651s,FAILED
callTestCase,,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.076s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:09,0.001s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:09,2018-10-02 14:41:10,0.565s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:10,2018-10-02 14:41:10,0.605s,FAILED
callTestCase,,,2018-10-02 14:41:10,2018-10-02 14:41:10,0.072s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:10,2018-10-02 14:41:10,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:10,2018-10-02 14:41:10,0.525s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:10,2018-10-02 14:41:11,0.625s,FAILED
callTestCase,,,2018-10-02 14:41:10,2018-10-02 14:41:10,0.076s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:10,2018-10-02 14:41:10,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:10,2018-10-02 14:41:11,0.539s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:11,2018-10-02 14:41:12,0.604s,FAILED
callTestCase,,,2018-10-02 14:41:11,2018-10-02 14:41:11,0.069s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:11,2018-10-02 14:41:11,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:11,2018-10-02 14:41:12,0.527s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:12,2018-10-02 14:41:12,0.622s,FAILED
callTestCase,,,2018-10-02 14:41:12,2018-10-02 14:41:12,0.068s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:12,2018-10-02 14:41:12,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:12,2018-10-02 14:41:12,0.548s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 14:41:12,2018-10-02 14:41:13,0.811s,PASSED
callTestCase,,,2018-10-02 14:41:12,2018-10-02 14:41:12,0.066s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 14:41:12,2018-10-02 14:41:12,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 14:41:12,2018-10-02 14:41:13,0.739s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 14:41:13,2018-10-02 14:41:13,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 14:41:13,2018-10-02 14:41:13,0.001s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 14:41:13,2018-10-02 14:41:13,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 14:41:13,2018-10-02 14:41:13,0.000s,PASSED
