Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Toyota,,,2018-09-21 08:55:30,2018-09-21 08:55:33,2.170s,FAILED
,,,,,,
Test Cases/Setup_Method_And_Variables,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.282s,PASSED
Statement - Glb_Interval = Setup_Interval,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.006s,PASSED
Statement - Glb_WorkshopStart = Setup_WorkshopStart,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
Statement - Glb_WorkshopEnd = Setup_WorkshopEnd,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
Statement - Glb_Dealer_Code = Setup_Dealer_Code,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
Statement - Glb_Location_Code = Setup_Location_Code,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
Statement - today = new java.util.Date(),,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.004s,PASSED
"Statement - current = today.format(""YYYY-MM-dd"")",,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
Statement - Glb_ServiceDate = current,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
,,,,,,
Test Cases/Setup_Method_And_Variables,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.013s,PASSED
Statement - Glb_Interval = Setup_Interval,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
Statement - Glb_WorkshopStart = Setup_WorkshopStart,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
Statement - Glb_WorkshopEnd = Setup_WorkshopEnd,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
Statement - Glb_Dealer_Code = Setup_Dealer_Code,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
Statement - Glb_Location_Code = Setup_Location_Code,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
Statement - today = new java.util.Date(),,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
"Statement - current = today.format(""YYYY-MM-dd"")",,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.000s,PASSED
Statement - Glb_ServiceDate = current,,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.001s,PASSED
,,,,,,
Test Cases/Toyota_GetServiceOperation_JSON,,,2018-09-21 08:55:31,2018-09-21 08:55:32,1.260s,FAILED
"Statement - GetServiceOperation = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Toyota/GetServiceOperations_JSON, [Dealer_Code:internal.GlobalVariable.Glb_Dealer_Code, Location_Code:internal.GlobalVariable.Glb_Location_Code, VIN:internal.GlobalVariable.Glb_VIN, ... ])",,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.018s,PASSED
"Statement - GetServiceOperation.getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Basic  + internal.GlobalVariable.Glb_Authorization_Token)))",,,2018-09-21 08:55:31,2018-09-21 08:55:31,0.009s,PASSED
Statement - res_GetServiceOperation = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(GetServiceOperation),,,2018-09-21 08:55:31,2018-09-21 08:55:32,1.037s,PASSED
verifyResponseStatusCode,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.011s,FAILED
,,,,,,
Test Cases/Toyota_GetDropOffTimes_JSON,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.180s,FAILED
Statement - Start_Date = Glb_ServiceDate,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.001s,PASSED
Statement - End_Date = Glb_ServiceDate,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.000s,PASSED
"Statement - mainrequest = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Toyota/GetDropOffTimes_JSON, [Start_Date:Start_Date, End_Date:End_Date, ServiceBay_Type:internal.GlobalVariable.Glb_ServiceBay_Type, Duration_Time:internal.GlobalVariable.Glb_Duration_Time, ... ])",,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.003s,PASSED
"Statement - mainrequest.getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Basic  + internal.GlobalVariable.Glb_Authorization_Token)))",,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.000s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(mainrequest),,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.004s,PASSED
verifyResponseStatusCode,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.001s,FAILED
,,,,,,
Test Cases/Toyota_GetDropOffTimes_JSON,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.029s,FAILED
Statement - Start_Date = Glb_ServiceDate,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.000s,PASSED
Statement - End_Date = Glb_ServiceDate,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.001s,PASSED
"Statement - mainrequest = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Toyota/GetDropOffTimes_JSON, [Start_Date:Start_Date, End_Date:End_Date, ServiceBay_Type:internal.GlobalVariable.Glb_ServiceBay_Type, Duration_Time:internal.GlobalVariable.Glb_Duration_Time, ... ])",,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.003s,PASSED
"Statement - mainrequest.getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Basic  + internal.GlobalVariable.Glb_Authorization_Token)))",,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.000s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(mainrequest),,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.003s,PASSED
verifyResponseStatusCode,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.001s,FAILED
,,,,,,
Test Cases/Toyota_GetDropOffTimes_JSON,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.078s,FAILED
Statement - Start_Date = Glb_ServiceDate,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.000s,PASSED
Statement - End_Date = Glb_ServiceDate,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.000s,PASSED
"Statement - mainrequest = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Toyota/GetDropOffTimes_JSON, [Start_Date:Start_Date, End_Date:End_Date, ServiceBay_Type:internal.GlobalVariable.Glb_ServiceBay_Type, Duration_Time:internal.GlobalVariable.Glb_Duration_Time, ... ])",,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.003s,PASSED
"Statement - mainrequest.getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Basic  + internal.GlobalVariable.Glb_Authorization_Token)))",,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.001s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(mainrequest),,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.003s,PASSED
verifyResponseStatusCode,,,2018-09-21 08:55:32,2018-09-21 08:55:32,0.001s,FAILED
