Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOperationCode,,,2018-10-02 13:51:47,2018-10-02 13:54:31,2m - 43.359s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:51:47,2018-10-02 13:51:58,10.931s,PASSED
callTestCase,,,2018-10-02 13:51:48,2018-10-02 13:51:48,0.436s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:51:48,2018-10-02 13:51:58,10.282s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:51:58,2018-10-02 13:52:04,6.185s,PASSED
callTestCase,,,2018-10-02 13:51:58,2018-10-02 13:51:58,0.079s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:51:58,2018-10-02 13:52:04,6.097s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:04,2018-10-02 13:52:04,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:04,2018-10-02 13:52:05,0.299s,PASSED
callTestCase,,,2018-10-02 13:52:04,2018-10-02 13:52:05,0.077s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.214s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.222s,PASSED
callTestCase,,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.070s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.146s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:05,2018-10-02 13:52:05,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:05,2018-10-02 13:52:26,20.879s,PASSED
callTestCase,,,2018-10-02 13:52:05,2018-10-02 13:52:19,13.895s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:19,2018-10-02 13:52:26,6.978s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.001s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:26,2018-10-02 13:52:45,18.735s,PASSED
callTestCase,,,2018-10-02 13:52:26,2018-10-02 13:52:26,0.067s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:26,2018-10-02 13:52:45,18.662s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.327s,PASSED
callTestCase,,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.102s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.219s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.001s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.216s,PASSED
callTestCase,,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.065s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.144s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.001s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:45,2018-10-02 13:52:52,6.882s,PASSED
callTestCase,,,2018-10-02 13:52:45,2018-10-02 13:52:45,0.065s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 13:52:45,2018-10-02 13:52:52,6.811s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 13:52:52,2018-10-02 13:52:52,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 13:52:52,2018-10-02 13:52:58,6.377s,PASSED
